"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive" "mean_negative" "weighted_mean_negative" "max_negative" "min_negative"
0.01185 14092 0 0.9909 1.0000 0.9681 0.9966 0.9966 1.0000 0.9877 0.9681 0.9681 0.9681 0.9681
0.01192 14091 0 0.9909 1.0000 0.9680 0.9966 0.9966 1.0000 0.9876 0.9680 0.9680 0.9680 0.9680
0.01199 14090 0 0.9908 1.0000 0.9678 0.9966 0.9966 1.0000 0.9875 0.9678 0.9678 0.9678 0.9678
0.01206 14089 0 0.9908 1.0000 0.9676 0.9966 0.9966 1.0000 0.9875 0.9676 0.9676 0.9676 0.9676
0.01213 14088 0 0.9907 1.0000 0.9674 0.9965 0.9965 1.0000 0.9874 0.9674 0.9674 0.9674 0.9674
0.01220 14087 0 0.9907 1.0000 0.9672 0.9965 0.9965 1.0000 0.9873 0.9672 0.9672 0.9672 0.9672
0.01227 14086 0 0.9906 1.0000 0.9671 0.9965 0.9965 1.0000 0.9872 0.9671 0.9671 0.9671 0.9671
0.01234 14085 0 0.9906 1.0000 0.9669 0.9965 0.9965 1.0000 0.9872 0.9669 0.9669 0.9669 0.9669
0.01241 14084 0 0.9905 1.0000 0.9667 0.9965 0.9965 1.0000 0.9871 0.9667 0.9667 0.9667 0.9667
0.01248 14083 0 0.9905 1.0000 0.9665 0.9964 0.9964 1.0000 0.9870 0.9665 0.9665 0.9665 0.9665
0.01255 14082 0 0.9904 1.0000 0.9663 0.9964 0.9964 1.0000 0.9869 0.9663 0.9663 0.9663 0.9663
0.01262 14081 0 0.9903 1.0000 0.9662 0.9964 0.9964 1.0000 0.9869 0.9662 0.9662 0.9662 0.9662
0.01269 14080 0 0.9903 1.0000 0.9660 0.9964 0.9964 1.0000 0.9868 0.9660 0.9660 0.9660 0.9660
0.01276 14079 0 0.9902 1.0000 0.9658 0.9964 0.9964 1.0000 0.9867 0.9658 0.9658 0.9658 0.9658
0.01283 14078 0 0.9902 1.0000 0.9656 0.9963 0.9963 1.0000 0.9866 0.9656 0.9656 0.9656 0.9656
0.01290 14077 0 0.9901 1.0000 0.9654 0.9963 0.9963 1.0000 0.9866 0.9654 0.9654 0.9654 0.9654
0.01297 14076 0 0.9901 1.0000 0.9652 0.9963 0.9963 1.0000 0.9865 0.9652 0.9652 0.9652 0.9652
0.01304 14075 0 0.9900 1.0000 0.9651 0.9963 0.9963 1.0000 0.9864 0.9651 0.9651 0.9651 0.9651
0.01311 14074 0 0.9900 1.0000 0.9649 0.9963 0.9963 1.0000 0.9863 0.9649 0.9649 0.9649 0.9649
0.01318 14073 0 0.9899 1.0000 0.9647 0.9962 0.9962 1.0000 0.9863 0.9647 0.9647 0.9647 0.9647
0.01325 14072 0 0.9899 1.0000 0.9645 0.9962 0.9962 1.0000 0.9862 0.9645 0.9645 0.9645 0.9645
0.01332 14071 0 0.9898 1.0000 0.9643 0.9962 0.9962 1.0000 0.9861 0.9643 0.9643 0.9643 0.9643
0.01339 14070 0 0.9898 1.0000 0.9641 0.9962 0.9962 1.0000 0.9860 0.9641 0.9641 0.9641 0.9641
0.01346 14069 0 0.9897 1.0000 0.9640 0.9961 0.9961 1.0000 0.9860 0.9640 0.9640 0.9640 0.9640
0.01353 14068 0 0.9897 1.0000 0.9638 0.9961 0.9961 1.0000 0.9859 0.9638 0.9638 0.9638 0.9638
0.01360 14067 0 0.9896 1.0000 0.9636 0.9961 0.9961 1.0000 0.9858 0.9636 0.9636 0.9636 0.9636
0.01367 14066 0 0.9895 1.0000 0.9634 0.9961 0.9961 1.0000 0.9857 0.9634 0.9634 0.9634 0.9634
0.01374 14065 0 0.9895 1.0000 0.9632 0.9961 0.9961 1.0000 0.9857 0.9632 0.9632 0.9632 0.9632
0.01381 14064 0 0.9894 1.0000 0.9631 0.9960 0.9960 1.0000 0.9856 0.9631 0.9631 0.9631 0.9631
0.01388 14063 0 0.9894 1.0000 0.9629 0.9960 0.9960 1.0000 0.9855 0.9629 0.9629 0.9629 0.9629
0.01395 14062 0 0.9893 1.0000 0.9627 0.9960 0.9960 1.0000 0.9854 0.9627 0.9627 0.9627 0.9627
0.01402 14061 0 0.9893 1.0000 0.9625 0.9960 0.9960 1.0000 0.9854 0.9625 0.9625 0.9625 0.9625
0.01409 14060 0 0.9892 1.0000 0.9624 0.9960 0.9960 1.0000 0.9853 0.9624 0.9624 0.9624 0.9624
0.01416 14059 0 0.9892 1.0000 0.9622 0.9959 0.9959 1.0000 0.9852 0.9622 0.9622 0.9622 0.9622
0.01423 14058 0 0.9891 1.0000 0.9620 0.9959 0.9959 1.0000 0.9851 0.9620 0.9620 0.9620 0.9620
0.01430 14057 0 0.9891 1.0000 0.9618 0.9959 0.9959 1.0000 0.9851 0.9618 0.9618 0.9618 0.9618
0.01437 14056 0 0.9890 1.0000 0.9616 0.9959 0.9959 1.0000 0.9850 0.9616 0.9616 0.9616 0.9616
0.01444 14055 0 0.9890 1.0000 0.9615 0.9959 0.9959 1.0000 0.9849 0.9615 0.9615 0.9615 0.9615
