"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.02247 30153 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02256 30150 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02266 30147 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02276 30144 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02286 30141 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02295 30138 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02305 30135 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02315 30132 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02324 30129 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02334 30126 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02344 30123 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02354 30120 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02363 30117 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02373 30114 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02383 30111 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02393 30108 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02402 30105 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02412 30102 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02422 30099 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02431 30096 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02441 30093 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02451 30090 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02461 30087 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02470 30084 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02480 30081 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02490 30078 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02500 30075 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02509 30072 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02519 30069 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02529 30066 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02538 30063 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02548 30060 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02558 30057 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02568 30054 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02577 30051 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02587 30048 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02597 30045 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02606 30042 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02616 30039 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02626 30036 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02636 30033 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02645 30030 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02655 30027 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02665 30024 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
